team,player,status,reason
BostonCeltics,"Brown,Jaylen",Out,Injury/Illness-LeftShoulder;
BostonCeltics,"Walker,Kemba",Out,Injury/Illness-LeftKnee;Injury
BostonCeltics,"WilliamsIII,Robert",Out,Injury/Illness-LeftKnee;
BrooklynNets,"Aldridge,LaMarcus",Out,NotWithTeam
BrooklynNets,"Chiozza,Chris",Out,Injury/Illness-RightHand;
BrooklynNets,"Claxton,Nicolas",Out,HealthandSafetyProtocols
BrooklynNets,"Dinwiddie,Spencer",Out,Injury/Illness-RightKnee;
BrooklynNets,"Durant,Kevin",Out,Injury/Illness-LeftThigh;
BrooklynNets,"Harden,James",Out,Injury/Illness-RightHamstring;
BrooklynNets,"Johnson,Alize",Out,HealthandSafetyProtocols
BrooklynNets,"Johnson,Tyler",Out,Injury/Illness-RightKnee;
AtlantaHawks,"Capela,Clint",Out,Injury/Illness-Back;Contusion
AtlantaHawks,"Dunn,Kris",Out,Injury/Illness-RightAnkle;
AtlantaHawks,"Gallinari,Danilo",Available,Injury/Illness-RightFoot;
AtlantaHawks,"Hunter,De'Andre",Out,Injury/Illness-RightKnee;
AtlantaHawks,"Reddish,Cam",Out,Injury/Illness-RightAchilles;
AtlantaHawks,"Snell,Tony",Out,Injury/Illness-RightAnkle;
AtlantaHawks,"Young,Trae",Out,Injury/Illness-LeftAnkle;Sprain
MiamiHeat,"Herro,Tyler",Available,Injury/Illness-RightFoot;
MiamiHeat,"Oladipo,Victor",Out,Injury/Illness-RightKnee;
MiamiHeat,"Vincent,Gabe",Available,Injury/Illness-RightKnee;
CharlotteHornets,"Ball,LaMelo",Out,Injury/Illness-RightWrist;
CharlotteHornets,"Darling,Nate",Out,Injury/Illness-RightAnkle;
CharlotteHornets,"Hayward,Gordon",Out,Injury/Illness-RightFoot;Sprain
CharlotteHornets,"Monk,Malik",Out,Injury/Illness-RightAnkle;
ClevelandCavaliers,"Dotson,Damyean",Out,Injury/Illness-Leftknee;
ClevelandCavaliers,"Prince,Taurean",Out,Injury/Illness-LeftAnkle;
,"Windler,Dylan",Out,Injury/Illness-LeftKnee;
HoustonRockets,"Augustin,D.).",Out,Injury/Illness-LeftAnkle;Sprain
HoustonRockets,"Brown,Sterling",Out,Injury/Illness-Leftknee;
HoustonRockets,"Exum,Dante",Out,Injury/Illness-RightCalf;Strain
HoustonRockets,"Gordon,Eric",Out,Injury/Illness-RightGroin;
HoustonRockets,"HouseJr.,Danuel",Available,Injury/Illness-RightAnkle;
HoustonRockets,"Nwaba,David",Out,Injury/Illness-RightWrist;
HoustonRockets,"PorterJr.,Kevin",Out,HealthandSafetyProtocols
LAClippers,"Beverley,Patrick",Out,Injury/Illness-LeftHand;Fourth
LAClippers,"Ibaka,Serge",Out,Injury/Illness-LowerBack;
LAClippers,"Leonard,Kawhi",Out,Injury/Illness-RightFoot;
LAClippers,"MorrisSr.,Marcus",Out,Rest
LAClippers,"Rondo,Rajon",Out,Injury/Illness-RightWrist;
OklahomaCityThunder,"Deck,Gabriel",Out,NotWithTeam
OklahomaCityThunder,"Dort,Luguentz",Available,Injury/Illness-RightHip;Strain
OklahomaCityThunder,"Gilgeous-Alexander,Shai",Out,Injury/Illness-RightFoot;
OklahomaCityThunder,"Hall,Josh",Out,Injury/Illness-BilateralKnee;
OklahomaCityThunder,"Muscala,Mike",Out,Injury/Illness-RightAnkle;
WashingtonWizards,"Avdija,Deni",Out,Injury/Illness-RightAnkle;Right
WashingtonWizards,"Bryant,Thomas",Out,Injury/Illness-LeftKnee;Left
WashingtonWizards,"Hachimura,Rui",Out,Injury/Illness-LeftKnee;Left
DenverNuggets,"Morris,Monte",Out,Injury/Illness-RightHamstring;
DenverNuggets,"Murray,Jamal",Out,Injury/Illness-LeftAcl;Injury
GoldenStateWarriors,"Bazemore,Kent",Out,HealthandSafetyProtocols
GoldenStateWarriors,"Lee,Damion",Out,HealthandSafetyProtocols
GoldenStateWarriors,"Paschall,Eric",Out,Injury/Illness-LeftHipFlexor;
GoldenStateWarriors,"Thompson,Klay",Out,Injury/Illness-RightAchilles
,"Toscano-Anderson,Juan",Available,Injury/Illness-Head;Concussion
,"Wiseman,James",Out,Injury/Illness-RightKnee;
MemphisGrizzlies,"JacksonJr.,Jaren",Available,
MemphisGrizzlies,"Porter,Jontay",Available,
MemphisGrizzlies,"Valanciunas,Jonas",Out,Injury/Illness-Concussion;NBA
MemphisGrizzlies,"Winslow,Justise",Available,
PortlandTrailBlazers,"Collins,Zach",Out,Injury/Illness-LeftAnkle;Stress
PortlandTrailBlazers,"JonesJr.,Derrick",Questionable,Injury/Illness-RightHip;
PortlandTrailBlazers,"McCollum,a",Available,
PortlandTrailBlazers,"Nurkic,Jusuf",Available,
NewYorkKnicks,"Burks,Alec",Out,HealthandSafetyProtocols
NewYorkKnicks,"Robinson,Mitchell",Out,Injury/Illness-RightFoot;
TorontoRaptors,"Boucher,Chris",Out,Injury/Illness-LeftKnee;Sprain
TorontoRaptors,"Harris,Jalen",Out,Injury/Illness-RightHip;Pointer
TorontoRaptors,"Hood,Rodney",Questionable,Injury/Illness-RightHip;Flexor-
TorontoRaptors,"Watson,Paul",Out,Injury/Illness-LeftKnee;
Philadelphia76ers,"Embiid,Joel",Questionable,Injury/Illness-RightShoulder;
Philadelphia76ers,"Korkmaz,Furkan",Questionable,Injury/Illness-RightAnkle;
Philadelphia76ers,"Simmons,Ben",Out,Injury/Illness-N/a;Illness
DetroitPistons,"Grant,Jerami",Probable,Injury/Illness-LeftQuadriceps;
DetroitPistons,"Joseph,Cory",Probable,Injury/Illness-LeftAnkle;
DetroitPistons,"McGruder,Rodney",Out,Injury/Illness-RightElbow;
DetroitPistons,"SmithJr.,Dennis",Out,Injury/Illness-LeftKnee;
IndianaPacers,"Bitadze,Goga",Questionable,Injury/Illness-LeftAnkle;Sprain
IndianaPacers,"Lamb,Jeremy",Questionable,Injury/Illness-LeftKnee;Sore
IndianaPacers,"McDermott,Doug",Questionable,Injury/Illness-LeftAnkle;Sprain
IndianaPacers,"Sabonis,Domantas",Out,/Illness-Back;SoreLower
,"Turner,Myles",Out,Injury/Illness-RightToe;Partial
,"Warren,T.J.",Out,Injury/Illness-LeftFoot;Stress
ChicagoBulls,"BrownJr.,Troy",Out,Injury/Illness-LeftAnkle;Sprain
ChicagoBulls,"LaVine,Zach",Out,HealthandSafetyProtocols
ChicagoBulls,"Williams,Patrick",Probable,Injury/Illness-LeftHeel;
NewOrleansPelicans,"Adams,Steven",Probable,Injury/Illness-LeftAnkle;
NewOrleansPelicans,"Alexander-Walker,Nickeil",Out,Injury/Illness-LeftHighAnkle;
NewOrleansPelicans,"Hart,Josh",Out,Injury/Illness-RightThumb;
NewOrleansPelicans,"Johnson,James",Questionable,Injury/Illness-RightAdductor;
SanAntonioSpurs,"DeRozan,DeMar",Questionable,Injury/Illness-RightQuad;
SanAntonioSpurs,"Gay,Rudy",Questionable,Injury/Illness-LowerBack;
SanAntonioSpurs,"Lyles,Trey",Out,Injury/Illness-RightAnkle;
SanAntonioSpurs,"White,Derrick",Available,
DallasMavericks,"Kleber,Maxi",Questionable,Injury/Illness-LowBack;
DallasMavericks,"Porzingis,Kristaps",Questionable,Injury/Illness-LeftAnkle;Sprain
DallasMavericks,"Terry,Tyrell",Out,PersonalReasons
LosAngelesLakers,"Caldwell-Pope,Kentavious",Questionable,Injury/Illness-RightAnkle;
LosAngelesLakers,"Davis,Anthony",Probable,Injury/Illness-RightCalf;Strain
LosAngelesLakers,"Drummond,Andre",Probable,Injury/Illness-RightBigToe;
LosAngelesLakers,"Dudley,Jared",Out,Injury/Illness-RightMCL;Tear
LosAngelesLakers,"Gasol,Marc",Questionable,Injury/Illness-LeftPinkieFinger;
LosAngelesLakers,"James,LeBron",Out,Injury/Illness-RightAnkle;
LosAngelesLakers,"Morris,Markieff",Probable,Injury/Illness-LeftAnkle;Sprain
LosAngelesLakers,"Schroder,Dennis",Probable,Injury/Illness-RightFoot;
MinnesotaTimberwolves,"Beasley,Malik",Out,Injury/Illness-LeftHamstring;
MinnesotaTimberwolves,"Nowell,Jaylen",Doubtful,Injury/Illness-RightTibia;
UtahJazz,"Azubuike,Udoka",Out,Injury/Illness-RightAnkle;
UtahJazz,"Mitchell,Donovan",Out,Injury/Illness-RightAnkle;
